material_id,es_source_calc_id,formula_pretty,predicted_zT,tSNE_1,tSNE_2,cluster,cluster_sorted,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,cbm,vbm,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson,e_total,e_ionic,e_electronic,n
mp-662599,mp-705805,Ag3AsSe3,0.9251059,37.92609,-22.269379,1,9,84,3,1999.8841113957100,6.331067758862240,23.808144183282300,-3.483891768214290,-3.6861774825000000,-0.3083887899330360,0.0,-0.0206881800000005,0.8391000000000000,3.2054,2.3663,2.37737722,0.0358069,1.79044874630313E-05,0.0029839083333333,0,0,,,,,,,,,,,,
mp-14643,mp-708234,Er2Te3,0.62542176,36.10338,-12.628224,1,9,20,2,685.6202869916310,6.94923755772658,34.281014349581500,-5.10007933,-5.3532793300000000,-1.6402082700000000,0.0,-0.307461492999999,0.0521000000000002,3.548,3.4959,3.5167289,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-556516,mp-708312,Tl2S,0.74126637,36.72914,-19.591457,1,9,27,2,877.923757882407,7.504253966445810,32.51569473638550,-3.2975636874074100,-3.465230354074070,-0.5113183006712960,0.0,-0.2771987371851860,0.7702000000000000,4.494,3.7238,3.72882227,0.0054148,6.16773375977517E-06,0.0006016444444444,0,0,,,,,,,,,,,,
mp-5874,mp-708538,TlAgTe,0.50417364,11.036352,34.300003,3,10,12,3,342.2075832706750,8.537398175363000,28.51729860588960,-2.9979670808333300,-3.1386337475,-0.3591320663888890,0.0,-0.0141068271333333,0.6385000000000010,5.0974,4.4589,4.52459592,0.0,0.0,0.0,0,0,,,,,,,,,43.66166362666670,25.96880268666670,17.692860940000000,4.206288261638760
mp-669311,mp-708543,In7Te10,0.66243535,35.349022,-16.79151,1,9,34,2,1289.8285920269500,5.354922804737430,37.936135059616300,-3.2949135473529400,-3.5431488414705900,-0.5610991330392160,0.0,-0.0524761500980393,0.7552000000000000,4.6057,3.8505,3.86094561,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-17667,mp-708661,Sr3AlSb3,0.4528907,-2.9859877,-2.1435542,8,4,28,3,971.9807572165690,4.47685779842661,34.71359847202030,-3.905856815714290,-3.98814253,-0.959419685714286,0.0,-0.0488743470982186,0.5960000000000000,4.1808,3.5848,3.60341713,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-17927,mp-708666,Ba(DyTe2)2,0.5771616,37.61153,-13.623004,1,9,28,3,1006.1217018165800,6.421693048545650,35.93291792202090,-4.9275531953571400,-5.1686960525000000,-1.7821571677381000,0.0,-0.022845656785714,0.79,4.5266,3.7366,3.7517495,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-17120,mp-708943,Cs6K3AlSb4,0.67908347,36.919872,-18.356274,1,9,28,4,1267.4483099086800,3.743732602582390,45.266011068167200,-2.4892480753571400,-2.544105218214290,-0.4751629422561580,0.0,-0.0628900588392853,0.9870000000000000,3.2173,2.2303,2.31254579,0.0012726,1.00406461553583E-06,0.0006363,0,0,,,,,,,,,,,,
mp-542374,mp-708945,KSn,0.43149012,24.838188,-2.9587991,5,8,32,2,1228.855549246430,3.411914083401290,38.401735913951,-2.8514686275,-2.8514686275,-0.2914832265,0.0,-0.1305337088888890,0.7031000000000000,3.2866,2.5835,2.52198718,4E-07,3.25506118473641E-10,2.5E-08,0,0,,,,,,,,,,,,
mp-582108,mp-710198,Sr21(Cd2Bi9)2,0.5551993,25.542303,-2.1459472,5,8,86,3,3128.9725786191400,6.422835866582540,36.38340207696670,-3.37025213372093,-3.37025213372093,-0.8516538569767440,0.0,-0.0358419337209285,0.1778000000000000,3.5507,3.3729,3.38983406,0.2184835,6.98259554886927E-05,0.10924175,0,0,,,,,,,,,,,,
mp-30252,mp-710316,Na10CaSn12,0.54708725,24.267164,-0.8708747,5,8,23,3,703.5826996060950,3.999211887465600,30.590552156786800,-3.017403964347830,-3.017403964347830,-0.2632424393703150,0.0,-0.0085155463043484,0.6649000000000000,3.9099,3.245,3.36400633,0.0,0.0,0.0,0,0,,,,,,,,,22.191318099973500,6.401377416640120,15.78994068333330,3.97365583352828
mp-28413,mp-710624,Na2(GaSb)3,0.42611042,1.4909669,4.805777,2,5,32,3,842.0218254195310,4.894152598950090,26.31318204436030,-3.281283804375,-3.353283804375,-0.3387410075754310,0.0,-0.0277989441826922,0.6830000000000000,4.1948,3.5118,3.58945093,0.0,0.0,0.0,0,0,,,,,,,,,25.523956783333300,6.727040416666670,18.796916366666700,4.335541069655170
mp-651741,mp-710625,Cs2Re2Se5,0.11348359,-14.940766,-4.563454,6,2,54,3,1856.7502867778800,5.543162874661180,34.384264569960700,-5.608627278888890,-5.8708495011111100,-0.9642476675089800,0.0,-0.0005486794444458,0.6453000000000000,2.9965,2.3512,2.37420322,0.0023536,1.2675910254385E-06,0.0003922666666666,0,0,,,,,,,,,,,,
mp-14650,mp-710687,Nd10Se19,0.33618286,-30.162416,-10.674343,4,1,58,2,1478.8104792328000,6.6085572943142600,25.496732400565600,-5.614542265689660,-5.923783645000000,-1.989170113949350,0.0,-0.0107157605603447,0.4105000000000000,4.4228,4.0123,3.97119268,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-28476,mp-710971,SrBiSe3,0.4905903,2.9985132,4.7410755,2,5,80,3,2327.158785571960,6.090620380234480,29.08948481964950,-4.2264661205000000,-4.5096661205,-1.306122717239580,0.0,-0.0170434920000008,0.4611,3.5865,3.1254,3.14462187,0.0153483,6.59529555746569E-06,0.00095926875,0,0,,,,,,,,,,,,
mp-8866,mp-711087,La10Se19,0.16247378,-29.090994,-8.82719,4,1,58,2,1550.7739933968700,6.187602764424880,26.737482644773500,-5.8040557,-6.113297079310340,-2.1208009025700400,0.0,-0.0064323414224123,0.7679,6.4439,5.676,5.64396037,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-29237,mp-711421,Tl2SnSe3,0.7927087,36.845787,-22.97241,1,9,48,3,1465.6848560899400,6.927786637569850,30.53510116854050,-3.6043281185416700,-3.8403281185416700,-0.6365626883246530,0.0,-0.0546825778869042,0.8713000000000000,4.2392,3.3679,3.32430864,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-571470,mp-711628,Na2SnSe3,0.54354113,33.026493,-20.005152,1,9,144,3,4344.293166967190,3.683850317316950,30.168702548383300,-3.6420447564583300,-3.878044756458330,-1.0209852773141200,0.0,-0.0104808956249997,0.9477000000000000,2.1552,1.2075,1.17784393,0.000635,1.46168772593057E-07,2.64583333333333E-05,0,0,,,,,,,,,,,,
